station,linename,station_new,linename_new,Latitude,Longitude
45 ST,R,45 ST,R,40.64893867,-74.010006
46 ST,MR,46 ST,MR,40.75631695,-73.91352175
46 ST BLISS ST,7,46 ST BLISS ST,7,40.743132,-73.918435
47-50 STS ROCK,BDFM,47-50 STS ROCK,BDFM,40.758641,-73.981331
49 ST,NQRW,49 ST,NQRW,40.75980197,-73.98420957
4AV-9 ST,DFGMNR,4AV-9 ST,DFGMNR,40.67027167,-73.989779
5 AV/53 ST,EM,5 AV/53 ST,EM,40.76008683,-73.97524851
5 AV/59 ST,NQRW,59 ST,456NQRW,40.764811,-73.973347
5 AVE,7BDFM,42 ST-BRYANT PK,BDFM7,40.754184,-73.984591
50 ST,D,50 ST,D,40.63626089,-73.99465878
50 ST,CE,50 ST,CE,40.762456,-73.985984
50 ST,1,50 ST,1,40.761728,-73.983849
51 ST,6,51 ST,6,40.757107,-73.97192
52 ST,7,52 ST,7,40.744149,-73.912549
53 ST,R,53 ST,R,40.64506867,-74.014034
55 ST,D,55 ST,D,40.63147876,-73.99534883
57 ST,F,57 ST,F,40.764085,-73.977368
57 ST-7 AV,NQRW,57 ST-7 AV,NQRW,40.76456553,-73.98072973
59 ST,NQR456W,59 ST,456NQRW,40.764811,-73.973347
59 ST,NRW,59 ST,456NQRW,40.764811,-73.973347
59 ST,456NQRW,59 ST,456NQRW,40.764811,-73.973347
59 ST COLUMBUS,ABCD1,59 ST COLUMBUS,1ABCD,40.768247,-73.981929
59 ST COLUMBUS,1ABCD,59 ST COLUMBUS,1ABCD,40.768247,-73.981929
6 AV,FLM123,14 ST,FLM123,40.738228,-73.996209
61 ST WOODSIDE,7,61 ST WOODSIDE,7,40.74563,-73.902984
63 DR-REGO PARK,MR,63 DR-REGO PARK,MR,40.72976397,-73.8616182
65 ST,MR,65 ST,MR,40.74971953,-73.89878838
66 ST-LINCOLN,1,66 ST-LINCOLN,1,40.77344,-73.982209
67 AV,MR,67 AV,MR,40.72650548,-73.85286048
68ST-HUNTER CO,6,68ST-HUNTER CO,6,40.768141,-73.96387
69 ST,7,69 ST,7,40.746325,-73.896403
7 AV,BQ,7 AV,BQ,40.67710218,-73.97285279
7 AV,BDE,7 AV,BDE,40.76297015,-73.98169782
7 AV,FG,7 AV,FG,40.66624469,-73.98025118
71 ST,D,71 ST,D,40.61925871,-73.99884095
72 ST,BC,72 ST,BC,40.7755194,-73.97633658
72 ST,123,72 ST,123,40.778453,-73.98197
72 ST-2 AVE,Q,72 ST-2 AVE,Q,40.76880251,-73.95836179
74 ST-BROADWAY,7EFMR,JKSN HT-ROOSVLT,EFMR7,40.74686757,-73.89120513
75 AV,EF,75 AV,EF,40.71804465,-73.83692369
75 ST-ELDERTS,JZ,75 ST-ELDERTS,JZ,40.69129,-73.867288
77 ST,R,77 ST,R,40.62974167,-74.02551
77 ST,6,77 ST,6,40.77362,-73.959874
79 ST,D,79 ST,D,40.61315893,-74.00058287
79 ST,1,79 ST,1,40.783934,-73.979917
8 AV,N,8 AV,N,40.634971,-74.011516
8 AV,ACEL,8 AV,ACEL,40.73977667,-74.002578
8 ST-NYU,NRW,8 ST-NYU,NRW,40.730465,-73.992508
80 ST,A,80 ST,A,40.679371,-73.858992
81 ST-MUSEUM,BC,81 ST-MUSEUM,BC,40.78134608,-73.97209795
82 ST-JACKSON H,7,82 ST-JACKSON H,7,40.747659,-73.883697
85 ST-FOREST PK,J,85 ST-FOREST PK,J,40.692427,-73.860087
86 ST,R,86 ST,R,40.62268667,-74.028398
86 ST,N,86 ST,N,40.592465,-73.978189
86 ST,BC,86 ST,BC,40.78582305,-73.96882849
86 ST,1,86 ST,1,40.788644,-73.976218
86 ST,456,86 ST,456,40.779492,-73.955589
86 ST-2 AVE,Q,86 ST-2 AVE,Q,40.77786104,-73.95177091
88 ST,A,88 ST,A,40.679843,-73.85147
9 AV,D,9 AV,D,40.64648408,-73.99444874
90 ST-ELMHURST,7,90 ST-ELMHURST,7,40.748408,-73.876613
96 ST,BC,96 ST,BC,40.7916188,-73.96460246
96 ST,123,96 ST,123,40.793919,-73.972323
96 ST,6,96 ST,6,40.785672,-73.95107
96 ST-2 AVE,Q,96 ST-2 AVE,Q,40.78423665,-73.94706602
ALABAMA AV,J,ALABAMA AV,J,40.676998,-73.898526
ALLERTON AV,25,ALLERTON AV,25,40.86548338,-73.86723423
AQUEDUCT N.COND,A,AQUEDUCT N.COND,A,40.668234,-73.834058
AQUEDUCT RACETR,A,AQUEDUCT RACETR,A,40.672097,-73.835919
ASTOR PL,6,ASTOR PL,6,40.730054,-73.99107
ASTORIA BLVD,NQW,ASTORIA BLVD,NQW,40.770037,-73.918095
ASTORIA DITMARS,NQW,ASTORIA DITMARS,NQW,40.77503567,-73.912034
ATL AV-BARCLAY,BDNQR2345,ATL AV-BARCLAY,2345BDNQR,40.68366567,-73.97881
ATL AV-BARCLAY,2345BDNQR,ATL AV-BARCLAY,2345BDNQR,40.68366567,-73.97881
ATLANTIC AV,L,ATLANTIC AV,L,40.67534467,-73.903097
AVENUE H,BQ,AVENUE H,BQ,40.62920838,-73.96151794
AVENUE I,F,AVENUE I,F,40.62501744,-73.97606933
AVENUE J,BQ,AVENUE J,BQ,40.62502282,-73.96069316
AVENUE M,BQ,AVENUE M,BQ,40.61739774,-73.95924311
AVENUE N,F,AVENUE N,F,40.61435671,-73.97404851
AVENUE P,F,AVENUE P,F,40.60884281,-73.97300282
AVENUE U,BQ,AVENUE U,BQ,40.59930895,-73.95581122
AVENUE U,N,AVENUE U,N,40.597236,-73.979084
AVENUE U,F,AVENUE U,F,40.59592483,-73.97337642
AVENUE X,F,AVENUE X,F,40.58944967,-73.974266
BAY 50 ST,D,BAY 50 ST,D,40.58884067,-73.983765
BAY PKWY,N,BAY PKWY,N,40.61145579,-73.98178001
BAY PKWY,D,BAY PKWY,D,40.60195046,-73.9936762
BAY PKWY,F,BAY PKWY,F,40.62073162,-73.97525698
BAY RIDGE AV,R,BAY RIDGE AV,R,40.63496667,-74.023377
BAY RIDGE-95 ST,R,BAY RIDGE-95 ST,R,40.61662167,-74.030876
BAYCHESTER AV,5,BAYCHESTER AV,5,40.878663,-73.838591
BEACH 105 ST,AS,BEACH 105 ST,AS,40.58326844,-73.82758075
BEACH 25 ST,A,BEACH 25 ST,A,40.600066,-73.761353
BEACH 36 ST,A,BEACH 36 ST,A,40.595398,-73.768175
BEACH 44 ST,A,BEACH 44 ST,A,40.592943,-73.776013
BEACH 60 ST,A,BEACH 60 ST,A,40.592374,-73.788522
BEACH 67 ST,A,BEACH 67 ST,A,40.590927,-73.796924
BEACH 90 ST,AS,BEACH 90 ST,AS,40.58809156,-73.8136514
BEACH 98 ST,AS,BEACH 98 ST,AS,40.58538569,-73.82052059
BEDFORD AV,L,BEDFORD AV,L,40.717174,-73.956665
BEDFORD PK BLVD,BD,BEDFORD PK BLVD,BD,40.873244,-73.887138
BEDFORD PK BLVD,4,BEDFORD PK BLVD,4,40.873412,-73.890064
BEDFORD-NOSTRAN,G,BEDFORD-NOSTRAN,G,40.689627,-73.953522
BERGEN ST,FG,BERGEN ST,FG,40.68611055,-73.9907565
BERGEN ST,23,BERGEN ST,23,40.68086214,-73.97499915
BEVERLEY ROAD,BQ,BEVERLEY ROAD,BQ,40.6439046,-73.9643578
BEVERLY RD,25,BEVERLY RD,25,40.64512352,-73.94884798
BLEECKER ST,6DF,B'WAY-LAFAYETTE,BDFQ6,40.725297,-73.996204
BOROUGH HALL,R2345,BOROUGH HALL,R2345,40.69419648,-73.99181831
BOROUGH HALL,2345R,BOROUGH HALL,R2345,40.69419648,-73.99181831
BOTANIC GARDEN,S2345,BOTANIC GARDEN,S2345,40.67034267,-73.959245
BOWERY,JZ,BOWERY,JZ,40.72024688,-73.99380691
BOWLING GREEN,45,BOWLING GREEN,45,40.704914,-74.014008
BRIARWOOD,EF,BRIARWOOD,EF,40.70916182,-73.82069264
BRIGHTON BEACH,BQ,BRIGHTON BEACH,BQ,40.5777102,-73.96135379
BROAD CHANNEL,AS,BROAD CHANNEL,AS,40.60840218,-73.81583269
BROAD ST,JZ,BROAD ST,JZ,40.706476,-74.011056
BROADWAY,G,BROADWAY,G,40.70612658,-73.95031226
BROADWAY,NQW,BROADWAY,NQW,40.761432,-73.925823
BROADWAY JCT,ACJLZ,BROADWAY JCT,ACJLZ,40.67833367,-73.905316
BRONX PARK EAST,25,BRONX PARK EAST,25,40.84876867,-73.86835609
BROOK AV,6,BROOK AV,6,40.807566,-73.91924
BROOKLYN BRIDGE,456JZ,BROOKLYN BRIDGE,456JZ,40.71323379,-74.00340673
BUHRE AV,6,BUHRE AV,6,40.84681,-73.832569
BURKE AV,25,BURKE AV,25,40.8712588,-73.86705362
BURNSIDE AV,4,BURNSIDE AV,4,40.853453,-73.907684
BUSHWICK AV,L,BUSHWICK AV,L,40.68286063,-73.90526176
B'WAY-LAFAYETTE,BDFQ6,B'WAY-LAFAYETTE,BDFQ6,40.725297,-73.996204
CANAL ST,JNQRZ6W,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
CANAL ST,ACE,CANAL ST,ACE,40.720824,-74.005229
CANAL ST,1,CANAL ST,1,40.722854,-74.006277
CANARSIE-ROCKAW,L,CANARSIE-ROCKAW,L,40.64665367,-73.90185
CARROLL ST,FG,CARROLL ST,FG,40.68027335,-73.99494698
CASTLE HILL AV,6,CASTLE HILL AV,6,40.834255,-73.851222
CATHEDRAL PKWY,BC,CATHEDRAL PKWY,BC,40.80058156,-73.95806671
CATHEDRAL PKWY,1,CATHEDRAL PKWY,1,40.803967,-73.966847
CENTRAL AV,M,CENTRAL AV,M,40.697873,-73.927243
CENTRAL PK N110,23,CENTRAL PK N110,23,40.799075,-73.951822
CHAMBERS ST,JZ456,BROOKLYN BRIDGE,456JZ,40.71256393,-74.00974462
CHAMBERS ST,ACE23,PARK PLACE,ACE23,40.714111,-74.00858474
CHAMBERS ST,123,CHAMBERS ST,123,40.715478,-74.009266
CHAUNCEY ST,JZ,CHAUNCEY ST,JZ,40.6828513,-73.91038357
CHRISTOPHER ST,1,CHRISTOPHER ST,1,40.733422,-74.002906
CHURCH AV,BQ,CHURCH AV,BQ,40.65049325,-73.96288246
CHURCH AV,FG,CHURCH AV,FG,40.644272,-73.97972116
CHURCH AV,25,CHURCH AV,25,40.65086069,-73.94945514
CITY HALL,NRW,CITY HALL,NRW,40.71327233,-74.00698582
CLARK ST,23,CLARK ST,23,40.697466,-73.993086
CLASSON AV,G,CLASSON AV,G,40.688889,-73.95999
CLEVELAND ST,J,CLEVELAND ST,J,40.679778,-73.885194
CLINTON-WASH AV,C,CLINTON-WASH AV,C,40.683263,-73.965838
CLINTON-WASH AV,G,CLINTON-WASH AV,G,40.688094,-73.966796
CONEY IS-STILLW,DFNQ,CONEY IS-STILLW,DFNQ,40.577281,-73.981236
CORTELYOU RD,BQ,CORTELYOU RD,BQ,40.64094017,-73.96379006
CORTLANDT ST,RNW,CORTLANDT ST,RNW,40.71051298,-74.01113196
COURT SQ,EMG,COURT SQ,EMG7,40.74776812,-73.9460547
COURT SQ,7,COURT SQ,EMG7,40.74776812,-73.9460547
COURT SQ,EMG7,COURT SQ,EMG7,40.74776812,-73.9460547
COURT SQ-23 ST,EMG,COURT SQ,EMG7,40.74776812,-73.9460547
CRESCENT ST,JZ,CRESCENT ST,JZ,40.68315266,-73.87392925
CROWN HTS-UTICA,34,CROWN HTS-UTICA,34,40.66897831,-73.93293256
CYPRESS AV,6,CYPRESS AV,6,40.805368,-73.914042
CYPRESS HILLS,J,CYPRESS HILLS,J,40.689616,-73.873322
DEKALB AV,BDNQR,DEKALB AV,BDNQR,40.69064812,-73.98177094
DEKALB AV,L,DEKALB AV,L,40.703693,-73.918232
DELANCEY/ESSEX,FJMZ,DELANCEY/ESSEX,FJMZ,40.71868074,-73.98807807
DITMAS AV,F,DITMAS AV,F,40.63611867,-73.978172
DYCKMAN ST,A,DYCKMAN ST,A,40.865491,-73.927271
DYCKMAN ST,1,DYCKMAN ST,1,40.860531,-73.925536
E 143/ST MARY'S,6,E 143/ST MARY'S,6,40.808719,-73.907657
E 149 ST,6,E 149 ST,6,40.812118,-73.904098
E 180 ST,25,E 180 ST,25,40.84186304,-73.8733461
EAST 105 ST,L,EAST 105 ST,L,40.65046879,-73.89954769
EAST BROADWAY,F,EAST BROADWAY,F,40.713855,-73.990177
EASTCHSTER/DYRE,5,EASTCHSTER/DYRE,5,40.8883,-73.830834
EASTN PKWY-MUSM,23,EASTN PKWY-MUSM,23,40.67203224,-73.96422204
ELDER AV,6,ELDER AV,6,40.828584,-73.879159
ELMHURST AV,MR,ELMHURST AV,MR,40.74237008,-73.88203475
EUCLID AV,AC,EUCLID AV,AC,40.675377,-73.872106
FAR ROCKAWAY,A,FAR ROCKAWAY,A,40.603995,-73.755405
FLATBUSH AV-B.C,25,FLATBUSH AV-B.C,25,40.63284241,-73.94754121
FLUSHING AV,JM,FLUSHING AV,JM,40.7004044,-73.94137735
FLUSHING AV,G,FLUSHING AV,G,40.70037667,-73.950234
FLUSHING-MAIN,7,FLUSHING-MAIN,7,40.7596,-73.83003
FORDHAM RD,BD,FORDHAM RD,BD,40.861296,-73.897749
FORDHAM RD,4,FORDHAM RD,4,40.862803,-73.901034
FOREST AVE,M,FOREST AVE,M,40.704412,-73.903075
FOREST HILLS 71,EFMR,FOREST HILLS 71,EFMR,40.72159431,-73.84451672
FRANKLIN AV,ACS,FRANKLIN AV,ACS,40.68137967,-73.956848
FRANKLIN AV,2345S,FRANKLIN AV,2345S,40.67076515,-73.95809974
FRANKLIN ST,1,FRANKLIN ST,1,40.719318,-74.006886
FREEMAN ST,25,FREEMAN ST,25,40.82998745,-73.89175225
FRESH POND RD,M,FRESH POND RD,M,40.706226,-73.895898
FT HAMILTON PKY,N,FT HAMILTON PKY,N,40.63138567,-74.005351
FT HAMILTON PKY,D,FT HAMILTON PKY,D,40.64091271,-73.99420224
FT HAMILTON PKY,FG,FT HAMILTON PKY,FG,40.65078167,-73.975776
FULTON ST,ACJZ2345,FULTON ST,ACJZ2345,40.71016217,-74.00762309
FULTON ST,2345ACJZ,FULTON ST,2345ACJZ,40.709416,-74.006571
FULTON ST,G,FULTON ST,G,40.687119,-73.975375
GATES AV,JZ,GATES AV,JZ,40.689584,-73.922156
GRAHAM AV,L,GRAHAM AV,L,40.714576,-73.943944
GRAND ARMY PLAZ,23,GRAND ARMY PLAZ,23,40.6752947,-73.97095633
GRAND ST,L,GRAND ST,L,40.711576,-73.940497
GRAND ST,BD,GRAND ST,BD,40.718267,-73.993753
GRAND-NEWTOWN,MR,GRAND-NEWTOWN,MR,40.73681342,-73.87722086
GRANT AV,A,GRANT AV,A,40.677044,-73.86505
GRD CNTRL-42 ST,4567S,GRD CNTRL-42 ST,4567S,40.75180743,-73.9767133
GREENPOINT AV,G,GREENPOINT AV,G,40.731267,-73.954425
GUN HILL RD,25,GUN HILL RD,25,40.87783939,-73.86613411
GUN HILL RD,5,GUN HILL RD,5,40.869526,-73.846384
HALSEY ST,L,HALSEY ST,L,40.695518,-73.903934
HALSEY ST,J,HALSEY ST,J,40.68641527,-73.91663888
HARLEM 148 ST,3,HARLEM 148 ST,3,40.82388,-73.93647
HEWES ST,JM,HEWES ST,JM,40.70689,-73.953488
HIGH ST,AC,HIGH ST,AC,40.699337,-73.990531
HOUSTON ST,1,HOUSTON ST,1,40.728251,-74.005367
HOWARD BCH JFK,A,HOWARD BCH JFK,A,40.660476,-73.830301
HOYT ST,23,HOYT ST,23,40.69054419,-73.9850638
HOYT-SCHER,ACG,HOYT-SCHER,ACG,40.68840848,-73.98503624
HUNTERS PT AV,7,HUNTERS PT AV,7,40.742216,-73.948916
HUNTS POINT AV,6,HUNTS POINT AV,6,40.820948,-73.890549
INTERVALE AV,25,INTERVALE AV,25,40.82214213,-73.89661738
INWOOD-207 ST,A,INWOOD-207 ST,A,40.868072,-73.919899
JACKSON AV,25,JACKSON AV,25,40.81643747,-73.90770194
JAMAICA 179 ST,F,JAMAICA 179 ST,F,40.71264567,-73.783817
JAMAICA CENTER,EJZ,JAMAICA CENTER,EJZ,40.70206738,-73.80109632
JAMAICA VAN WK,E,JAMAICA VAN WK,E,40.70289855,-73.81701287
JAY ST-METROTEC,R,JAY ST-METROTEC,ACFR,40.6922554,-73.98605668
JAY ST-METROTEC,ACF,JAY ST-METROTEC,ACFR,40.6922554,-73.98605668
JAY ST-METROTEC,ACFR,JAY ST-METROTEC,ACFR,40.6922554,-73.98605668
JEFFERSON ST,L,JEFFERSON ST,L,40.70660667,-73.922913
JFK JAMAICA CT1,E,SUTPHIN-ARCHER,EJZ,40.70038242,-73.80800472
JKSN HT-ROOSVLT,EFMR7,JKSN HT-ROOSVLT,EFMR7,40.74686757,-73.89120513
JUNCTION BLVD,7,JUNCTION BLVD,7,40.749145,-73.869527
JUNIUS ST,3,JUNIUS ST,3,40.663589,-73.90244864
KEW GARDENS,EF,KEW GARDENS,EF,40.71403482,-73.83037027
KINGS HWY,BQ,KINGS HWY,BQ,40.60863865,-73.95760874
KINGS HWY,N,KINGS HWY,N,40.604059,-73.980373
KINGS HWY,F,KINGS HWY,F,40.60325841,-73.97235531
KINGSBRIDGE RD,BD,KINGSBRIDGE RD,BD,40.866978,-73.893509
KINGSBRIDGE RD,4,KINGSBRIDGE RD,4,40.86776,-73.897174
KINGSTON AV,3,KINGSTON AV,3,40.66948145,-73.94215978
KINGSTON-THROOP,C,KINGSTON-THROOP,C,40.679919,-73.940859
KNICKERBOCKER,M,KNICKERBOCKER,M,40.69866,-73.91972
KOSCIUSZKO ST,J,KOSCIUSZKO ST,J,40.693172,-73.928509
LAFAYETTE AV,C,LAFAYETTE AV,C,40.686113,-73.973946
LEXINGTON AV/53,EM6,LEXINGTON AV/53,EM6,40.75746831,-73.96907237
LEXINGTON AV/63,F,LEXINGTON AV/63,F,40.76461809,-73.96608964
LIBERTY AV,C,LIBERTY AV,C,40.674542,-73.896548
LIVONIA AV,L,LIVONIA AV,L,40.66405727,-73.90056237
LONGWOOD AV,6,LONGWOOD AV,6,40.816104,-73.896435
LORIMER ST,LG,LORIMER ST,LG,40.714072,-73.950248
LORIMER ST,JM,LORIMER ST,JM,40.703844,-73.947355
MARBLE HILL-225,1,MARBLE HILL-225,1,40.874561,-73.909831
MARCY AV,JMZ,MARCY AV,JMZ,40.708383,-73.957832
METROPOLITAN AV,M,METROPOLITAN AV,M,40.71143131,-73.88957723
METROPOLITAN AV,GL,METROPOLITAN AV,GL,40.712774,-73.951424
METS-WILLETS PT,7,METS-WILLETS PT,7,40.754622,-73.845625
MIDDLETOWN RD,6,MIDDLETOWN RD,6,40.843863,-73.836322
MONTROSE AV,L,MONTROSE AV,L,40.70739106,-73.93979285
MORGAN AV,L,MORGAN AV,L,40.70615167,-73.933147
MORISN AV/SNDVW,6,MORISN AV/SNDVW,6,40.829521,-73.874516
MORRIS PARK,5,MORRIS PARK,5,40.854364,-73.860495
MOSHOLU PKWY,4,MOSHOLU PKWY,4,40.87975,-73.884655
MT EDEN AV,4,MT EDEN AV,4,40.844434,-73.914685
MYRTLE AV,JMZ,MYRTLE AV,JMZ,40.697195,-73.935623
MYRTLE-WILLOUGH,G,MYRTLE-WILLOUGH,G,40.694619,-73.949067
MYRTLE-WYCKOFF,LM,MYRTLE-WYCKOFF,LM,40.69947106,-73.91097572
NASSAU AV,G,NASSAU AV,G,40.72448,-73.951183
NECK RD,BQ,NECK RD,BQ,40.59532169,-73.95507827
NEPTUNE AV,F,NEPTUNE AV,F,40.58073876,-73.97459273
NEREID AV,25,NEREID AV,25,40.89828652,-73.85431531
NEVINS ST,2345,NEVINS ST,2345,40.68831058,-73.9804068
NEW LOTS,L,NEW LOTS,L,40.65891477,-73.89927796
NEW LOTS AV,3,NEW LOTS AV,3,40.66631493,-73.88411071
NEW UTRECHT AV,ND,NEW UTRECHT AV,ND,40.62484167,-73.996353
NEWKIRK AV,25,NEWKIRK AV,25,40.63999124,-73.94829991
NEWKIRK PLAZA,BQ,NEWKIRK PLAZA,BQ,40.63514194,-73.96269487
NORTHERN BLVD,MR,NORTHERN BLVD,MR,40.75282483,-73.90606508
NORWOOD 205 ST,D,NORWOOD 205 ST,D,40.874811,-73.878855
NORWOOD AV,JZ,NORWOOD AV,JZ,40.68152,-73.879626
NOSTRAND AV,AC,NOSTRAND AV,AC,40.680438,-73.950426
NOSTRAND AV,3,NOSTRAND AV,3,40.66993815,-73.95042625
OCEAN PKWY,Q,OCEAN PKWY,Q,40.57631167,-73.968501
OZONE PK LEFFRT,A,OZONE PK LEFFRT,A,40.685951,-73.825798
PARK PLACE,S,PARK PLACE,S,40.67477167,-73.957624
PARK PLACE,23ACE,PARK PLACE,ACE23,40.71256393,-74.00974462
PARK PLACE,ACE23,PARK PLACE,ACE23,40.71256393,-74.00974462
PARKCHESTER,6,PARKCHESTER,6,40.833226,-73.860816
PARKSIDE AV,BQ,PARKSIDE AV,BQ,40.65507304,-73.96145344
PARSONS BLVD,F,PARSONS BLVD,F,40.707572,-73.803289
PELHAM BAY PARK,6,PELHAM BAY PARK,6,40.852462,-73.828121
PELHAM PKWY,25,PELHAM PKWY,25,40.85719241,-73.86748068
PELHAM PKWY,5,PELHAM PKWY,5,40.858985,-73.855359
PENNSYLVANIA AV,3,PENNSYLVANIA AV,3,40.66471445,-73.89488591
